DATA,NF-e,CNPJ/CPF,CLIENTE,VALOR,TIPO DE VENDA,VEND,COM,SIMPLES,FRETE,% FRETE
08/08/2024,26542,85.901.273/0001-60,Vicente da Mota,148.5,À VISTA,Sra. Isadora Montenegro,49.29,NÃO,412.74,4.84
11/07/2024,60899,14.097.863/0001-33,Sr. Carlos Eduardo Freitas,2726.08,À VISTA,Davi Miguel Cirino,24.73,SIM,126.69,1.45
14/10/2023,56009,51.046.739/0001-75,Apollo da Conceição,4506.99,À VISTA,Davi Lucca Cunha,41.27,NÃO,298.42,9.91
21/02/2024,83377,29.714.680/0001-97,Laís Barbosa,4117.11,A PRAZO,Sara Rios,93.9,NÃO,179.56,9.58
09/07/2024,31467,53.247.108/0001-40,Heloísa Alves,4107.37,A PRAZO,Nathan Garcia,87.82,NÃO,440.77,6.32
04/01/2024,22560,12.846.903/0001-77,Sra. Ayla Garcia,187.43,À VISTA,Bryan da Costa,38.07,NÃO,338.34,2.85
10/02/2024,15637,20.835.417/0001-81,Dra. Maria Garcia,2787.49,À VISTA,Mirella das Neves,46.48,SIM,337.55,7.76
14/09/2022,72217,78.065.342/0001-87,Thomas Montenegro,737.02,À VISTA,Sra. Cecilia Moraes,19.78,NÃO,263.66,2.84
16/02/2025,47827,21.576.839/0001-42,Lorenzo da Mota,2649.95,A PRAZO,Joana Souza,72.97,NÃO,262.88,5.56
05/10/2024,74910,63.750.142/0001-96,Gael Vieira,2457.64,A PRAZO,Guilherme Novaes,7.68,NÃO,290.52,3.68
05/11/2024,38106,17.869.023/0001-30,Nicole Moraes,584.47,À VISTA,Bento Albuquerque,13.88,SIM,354.77,2.83
27/09/2024,31181,53.947.201/0001-67,Miguel Sales,748.74,À VISTA,Larissa Fernandes,88.29,SIM,422.32,4.11
06/04/2023,10338,93.241.078/0001-89,Heloísa Fonseca,3408.96,A PRAZO,Yasmin Rezende,83.23,NÃO,448.53,9.68
19/01/2025,90019,54.128.903/0001-81,Fernando Melo,3946.96,A PRAZO,Miguel Souza,41.7,NÃO,79.8,4.32
